q0 q1 q2 q3 weights
0.98428416 0.03294177 0.16465761 -0.05465683 0.00001249
0.95812273 -0.04112068 0.28058016 0.03980863 0.00001251
0.86908430 0.23130922 0.30485898 -0.31344774 0.00001262
0.88971734 0.36798823 -0.26864886 -0.02855626 0.00001271
0.89391041 0.35118410 0.22855532 -0.15923694 0.00001224
0.92551273 -0.11495487 0.30888361 -0.18655434 0.00001159
0.94716501 0.06700708 0.14990155 -0.27553231 0.00001259
0.91589284 -0.36638546 -0.12848203 -0.10195298 0.00001282
0.88704461 -0.28182271 -0.09355082 -0.35351959 0.00001237
0.92287403 0.08073862 0.36721137 0.08331015 0.00001314
0.86467469 -0.32356748 -0.29804975 0.24250375 0.00001305
0.92643553 -0.36037797 -0.02407801 -0.10613729 0.00001166
0.93506747 0.05061613 0.19541276 0.29137728 0.00001284
0.89102191 -0.27728817 -0.35939631 -0.00505484 0.00001345
0.91729128 -0.26176807 -0.27540463 0.11919083 0.00001247
0.90099859 0.24858676 0.32868570 0.13554278 0.00001159
0.90608746 0.14469936 0.36551639 -0.15641405 0.00001193
0.91766739 0.07469834 -0.17181250 -0.35040998 0.00001188
0.91544801 0.30555993 0.02056551 -0.26108450 0.00001157
0.89803737 0.31649196 -0.30371758 0.03342694 0.00001312
0.94639516 -0.29760307 -0.04893981 0.11564401 0.00001214
0.90387380 0.34825367 0.18339150 -0.16762796 0.00001272
0.87533647 -0.26971468 0.29877454 0.26790637 0.00001209
0.94129723 0.31461316 -0.02648357 -0.11948525 0.00001349
0.87149256 0.31616229 0.32552969 -0.18593691 0.00001243
0.96383768 0.08894397 -0.25077093 -0.01482777 0.00001164
0.95732194 0.06879024 -0.26265672 -0.09906610 0.00001254
0.87413019 0.30297324 0.25260755 -0.28336021 0.00001190
0.96022391 0.21798787 -0.09195676 0.14830810 0.00001270
0.90473658 -0.01872811 -0.30894971 -0.29266205 0.00001257
0.91985798 0.33855739 -0.19740750 0.01644745 0.00001184
0.94266951 0.23031053 0.21638945 -0.10726979 0.00001272
0.89815110 -0.28158891 0.33434471 0.04739064 0.00001259
0.95162994 -0.18187863 0.00823057 0.24749313 0.00001301
0.93445706 0.08656382 0.18117081 0.29406425 0.00001243
0.94749057 0.07500989 -0.25469899 -0.17822333 0.00001252
0.91640210 0.07917901 0.35860041 0.15919669 0.00001277
0.97011346 -0.08755543 -0.20619653 -0.09325710 0.00001305
0.94019115 -0.00366100 -0.31213260 -0.13638353 0.00001113
0.87320495 0.35901770 -0.15810756 -0.28917363 0.00001264
0.90618211 0.36702862 0.05133654 -0.20368722 0.00001221
0.93967843 -0.25182033 -0.21681117 -0.08114105 0.00001258
0.92840207 -0.19606081 0.24978179 -0.19297376 0.00001326
0.94659710 -0.30426237 0.03620692 -0.10033657 0.00001277
0.93221301 -0.19606563 0.07171805 0.29562429 0.00001333
0.93505943 -0.04479498 -0.22079170 -0.27369389 0.00001175
0.94778967 0.25583324 0.07361676 0.17556971 0.00001206
0.99083024 0.11227997 -0.05987126 -0.04543236 0.00001307
0.94912708 0.30038542 0.07502477 0.05742553 0.00001263
0.93317395 -0.08567827 -0.01981261 0.34850115 0.00001221
0.98825866 -0.12432605 -0.06305920 -0.06254113 0.00001228
0.91590542 -0.16331419 -0.35356313 0.09715372 0.00001285
0.91834319 0.26457441 -0.04405686 0.29104155 0.00001327
0.97052020 0.07916911 -0.09355517 -0.20753361 0.00001229
0.95258415 -0.26880923 -0.00784443 -0.14234993 0.00001188
0.95823240 -0.26241833 0.04858284 -0.10279609 0.00001296
0.87224358 0.35065433 0.17107384 0.29490063 0.00001320
0.97830319 0.16308385 -0.05369903 0.11594349 0.00001263
0.94657069 -0.14878583 -0.04157208 0.28308734 0.00001243
0.95581353 0.07301273 0.05436071 0.27952555 0.00001181
0.93083662 0.10991172 0.09863559 -0.33426586 0.00001181
0.92634559 0.19305696 -0.28958946 -0.14405131 0.00001237
0.95721090 0.28023154 -0.02164084 -0.06891525 0.00001262
0.93006188 -0.05075530 -0.17495489 0.31906042 0.00001193
